date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:23	90166/90166	---M--	200	added ('OK')	image/jpeg	etag:%22317af174642581b82e4f899f1f2c7dfab2e95238%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/i70f2856ee583bc95/version/1493926208/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/i70f2856ee583bc95/version/1493926208/image.jpg	(from https://www.minamer.com.mx/)
14:47:23	73859/73859	---M--	200	added ('OK')	image/jpeg	etag:%22fcfdc78649e4b42fabfaf11ac527da1b7468c258%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/ia666dfe3388f7845/version/1493926208/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/ia666dfe3388f7845/version/1493926208/image.jpg	(from https://www.minamer.com.mx/)
14:47:25	43757/43757	---M--	200	added ('OK')	image/jpeg	etag:%226afccca727f45fec1a29ee8102723ccb%22	https://image.jimcdn.com/app/cms/image/transf/none/path/sc8497b8285030272/image/if0e4776ebeb6329a/version/1493926208/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/none/path/sc8497b8285030272/image/if0e4776ebeb6329a/version/1493926208/image.jpg	(from https://www.minamer.com.mx/)
14:47:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Aug%202018%2019:46:12%20GMT	http://www.minamer.com.mx/j/privacy	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/j/privacy.16.delayed	(from https://www.minamer.com.mx/)
14:47:25	55924/55924	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Aug%202018%2019:46:12%20GMT	https://www.minamer.com.mx/about/	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/about/index.html	(from https://www.minamer.com.mx/)
14:47:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Aug%202018%2019:46:14%20GMT	http://www.minamer.com.mx/j/cookies/policy	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/j/cookies/policy	(from https://www.minamer.com.mx/)
14:47:27	26113/26113	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Aug%202018%2019:46:13%20GMT	https://www.minamer.com.mx/j/privacy	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/j/privacy.html	(from https://www.minamer.com.mx/)
14:47:27	32058/32058	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Aug%202018%2019:46:14%20GMT	https://www.minamer.com.mx/j/cookies/policy	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/j/cookies/policy.html	(from https://www.minamer.com.mx/)
14:47:28	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Aug%202018%2019:46:15%20GMT	https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login	(from https://www.minamer.com.mx/)
14:47:28	46274/46274	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/ga.js	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.google-analytics.com/ga.js	(from https://www.minamer.com.mx/)
14:47:29	21711/21711	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Aug%202018%2019:46:15%20GMT	https://www.minamer.com.mx/sitemap/	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/sitemap/index.html	(from https://www.minamer.com.mx/)
14:47:32	147084/147084	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2238394ca16133f78363850eb0ebc16c36%22	https://assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36.eot	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36.eot	(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
